Date,Open,High,Low,Close,Volume
1989-08-25,34792,34892,34639,34740,0
1989-08-28,34740,34749,34493,34607,0
1989-08-29,34612,34688,34506,34688,0
1989-08-30,34700,34759,34423,34472,0
1989-08-31,34483,34516,34244,34431,0
1989-09-01,34439,34491,34220,34348,0
1989-09-04,34355,34559,34306,34484,0
1989-09-05,34513,34635,34338,34442,0
1989-09-06,34434,34436,34118,34271,0
1989-09-07,34228,34300,34111,34153,0
1989-09-08,34159,34316,34107,34116,0
1989-09-11,34129,34165,33955,34114,0
1989-09-12,34105,34333,34091,34333,0
1989-09-13,34345,34345,34186,34287,0
1989-09-14,34292,34410,34262,34402,0
1989-09-18,34394,34525,34385,34473,0
1989-09-19,34477,34581,34368,34471,0
1989-09-20,34499,34560,34448,34471,0
1989-09-21,34537,34759,34537,34745,0
1989-09-22,34783,34865,34733,34772,0
1989-09-25,34836,34990,34834,34961,0
1989-09-26,34978,35445,34975,35445,0
1989-09-27,35475,35654,35308,35371,0
1989-09-28,35398,35690,35398,35690,0
1989-09-29,35704,35778,35537,35637,0
1989-10-02,35672,35771,35613,35623,0
1989-10-03,35603,35603,35293,35366,0
1989-10-04,35390,35419,35338,35383,0
1989-10-05,35382,35537,35382,35523,0
1989-10-06,35508,35508,35051,35209,0
1989-10-09,35229,35405,35229,35376,0
1989-10-11,35381,35399,35006,35240,0
1989-10-12,35220,35220,34795,34795,0
1989-10-13,34844,35119,34844,35116,0
1989-10-16,35076,35076,34461,34469,0
1989-10-17,34508,35184,34508,34996,0
1989-10-18,35005,35152,34992,35108,0
1989-10-19,35129,35392,35129,35374,0
1989-10-20,35419,35611,35419,35486,0
1989-10-23,35514,35670,35514,35586,0
1989-10-24,35609,35651,35449,35527,0
1989-10-25,35536,35645,35442,35442,0
1989-10-26,35452,35697,35452,35678,0
1989-10-27,35694,35743,35375,35527,0
1989-10-30,35523,35523,35336,35417,0
1989-10-31,35413,35583,35413,35549,0
1989-11-01,35545,35640,35453,35564,0
1989-11-02,35546,35556,35361,35495,0
1989-11-06,35495,35573,35411,35434,0
1989-11-07,35371,35371,35099,35270,0
1989-11-08,35319,35629,35319,35596,0
1989-11-09,35626,35690,35467,35657,0
1989-11-10,35679,35742,35595,35663,0
1989-11-13,35714,35800,35678,35750,0
1989-11-14,35726,35776,35697,35769,0
1989-11-15,35806,35977,35805,35852,0
1989-11-16,35855,35953,35833,35876,0
1989-11-17,35903,36025,35900,35964,0
1989-11-20,35963,35975,35882,35894,0
1989-11-21,35920,36060,35920,36060,0
1989-11-22,36098,36388,36098,36287,0
1989-11-24,36305,36486,36305,36484,0
1989-11-27,36488,36883,36488,36882,0
1989-11-28,36893,36987,36826,36985,0
1989-11-29,36989,37129,36936,37021,0
1989-11-30,37034,37269,37019,37269,0
1989-12-01,37284,37333,37059,37133,0
1989-12-04,37135,37313,37124,37304,0
1989-12-05,37327,37548,37327,37494,0
1989-12-06,37453,37654,37299,37654,0
1989-12-07,37656,37858,37550,37858,0
1989-12-08,37864,37880,37625,37724,0
1989-12-11,37714,37840,37688,37753,0
1989-12-12,37764,37900,37676,37804,0
1989-12-13,37831,38062,37831,38062,0
1989-12-14,38058,38202,37994,38181,0
1989-12-15,38181,38273,38063,38271,0
1989-12-18,38304,38586,38304,38586,0
1989-12-19,38560,38560,38250,38439,0
1989-12-20,38442,38572,38311,38512,0
1989-12-21,38523,38540,38196,38215,0
1989-12-22,38268,38428,37863,38040,0
1989-12-25,38060,38467,37905,38424,0
1989-12-26,38470,38786,38470,38681,0
1989-12-27,38709,38884,38709,38802,0
1989-12-28,38835,38920,38678,38877,0
1989-12-29,38913,38957,38828,38916,0
1990-01-04,38922,38951,38705,38713,0
1990-01-05,38717,38787,38091,38275,0
1990-01-08,38332,38564,38121,38295,0
1990-01-09,38281,38297,37730,37951,0
1990-01-10,37928,37928,37460,37697,0
1990-01-11,37706,38170,37604,38170,0
1990-01-12,38130,38130,37517,37517,0
1990-01-16,37469,37469,36658,36850,0
1990-01-17,36894,37285,36821,36821,0
1990-01-18,36834,37003,36521,36729,0
1990-01-19,36704,36840,36365,36837,0
1990-01-22,36853,37257,36851,37257,0
1990-01-23,37213,37379,37018,37378,0
1990-01-24,37396,37463,36683,36779,0
1990-01-25,36822,37082,36766,36969,0
1990-01-26,36978,37088,36846,36874,0
1990-01-29,36913,37225,36913,37174,0
1990-01-30,37210,37336,37192,37216,0
1990-01-31,37201,37208,36957,37189,0
1990-02-01,37242,37332,37125,37206,0
1990-02-02,37256,37665,37256,37650,0
1990-02-05,37677,37732,37583,37631,0
1990-02-06,37680,37887,37643,37667,0
1990-02-07,37684,37693,37256,37302,0
1990-02-08,37346,37516,37181,37516,0
1990-02-09,37509,37509,37193,37288,0
1990-02-13,37320,37351,37094,37107,0
1990-02-14,37125,37183,37018,37156,0
1990-02-15,37186,37585,37186,37472,0
1990-02-16,37523,37674,37405,37460,0
1990-02-19,37496,37611,37097,37223,0
1990-02-20,37158,37158,36868,36896,0
1990-02-21,36866,36866,35695,35734,0
1990-02-22,35767,36148,35088,35827,0
1990-02-23,35803,35803,34841,34891,0
1990-02-26,34863,34863,32443,33322,0
1990-02-27,33346,34001,32793,33898,0
1990-02-28,33950,34756,33950,34592,0
1990-03-01,34587,34588,33830,33830,0
1990-03-02,33855,34092,33771,34058,0
1990-03-05,34072,34118,33752,33845,0
1990-03-06,33857,33989,33730,33791,0
1990-03-07,33798,33807,33180,33362,0
1990-03-08,33273,33939,32971,33691,0
1990-03-09,33724,34320,33724,33993,0
1990-03-12,33985,34006,33366,33368,0
1990-03-13,33318,33318,32621,32621,0
1990-03-14,32578,32762,32280,32352,0
1990-03-15,32365,32720,32365,32672,0
1990-03-16,32659,32918,32472,32616,0
1990-03-19,32609,32721,31198,31263,0
1990-03-20,31242,31551,30570,30807,0
1990-03-22,30776,30776,28830,29843,0
1990-03-23,29851,30372,29597,30372,0
1990-03-26,30378,31840,30378,31840,0
1990-03-27,31834,32164,31368,31826,0
1990-03-28,31800,31800,31107,31264,0
1990-03-29,31238,31438,30877,31026,0
1990-03-30,31002,31002,29828,29980,0
1990-04-02,29980,29980,28002,28002,0
1990-04-03,28005,28791,27678,28760,0
